dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	139659	id_194701	139657	id_194699
1.0	50238	id_71639	29406	id_41752
1.0	144181	id_201057	74304	id_105630
0.91	183497	id_255138	183450	id_255091
1.0	148331	id_206764	698	id_934
1.0	45910	id_65506	45907	id_65503
1.0	109128	id_152348	48005	id_68517
1.0	84150	id_119042	84117	id_119009
1.0	166044	id_231332	71620	id_101397
1.0	84150	id_119042	84113	id_119004
1.0	71380	id_100935	71379	id_100934
1.0	175232	id_244071	94188	id_131697
1.0	84501	id_119713	38538	id_55141
1.0	98147	id_137051	46021	id_65679
1.0	148307	id_206698	67869	id_95909
0.9	59623	id_84878	40400	id_57576
0.89	161456	id_225038	118699	id_165769
0.93	164444	id_229169	143858	id_200625
1.0	84150	id_119042	84123	id_119015
1.0	137034	id_191136	136966	id_191068
1.0	164484	id_229209	164374	id_229099
1.0	92511	id_129656	9037	id_13253
1.0	77777	id_110467	30612	id_43596
1.0	12477	id_18019	12455	id_17997
0.88	151656	id_211351	149084	id_207874
1.0	141725	id_197804	141700	id_197779
1.0	48214	id_68853	9631	id_14091
1.0	12791	id_18469	12788	id_18465
1.0	87243	id_123225	87222	id_123204
1.0	84150	id_119042	84138	id_119030
0.98	126222	id_175932	704	id_940
1.0	84150	id_119042	84130	id_119022
1.0	101014	id_141318	72669	id_103244
1.0	32482	id_46203	32317	id_46033
1.0	139237	id_193985	24501	id_34905
1.0	148537	id_207098	147677	id_205695
1.0	6761	id_10081	6751	id_10071
1.0	84150	id_119042	84146	id_119038
0.94	22038	id_31629	15749	id_22754
0.96	50543	id_71953	46425	id_66491
1.0	84150	id_119042	84140	id_119032
1.0	13510	id_19466	13453	id_19393
1.0	122135	id_170358	122120	id_170342
1.0	161770	id_225504	107300	id_149939
0.88	23016	id_32989	23013	id_32986
1.0	12477	id_18019	12437	id_17978
1.0	12477	id_18019	12434	id_17975
0.98	158430	id_221029	55249	id_78676
1.0	98293	id_137289	98270	id_137249
1.0	55407	id_78902	23166	id_33195
1.0	166037	id_231279	161522	id_225110
0.89	59538	id_84704	30983	id_44221
1.0	49383	id_70368	49361	id_70345
1.0	92272	id_129417	3426	id_5136
1.0	38871	id_55585	21034	id_30278
1.0	34627	id_49687	3932	id_5832
0.9	136285	id_190110	57666	id_82075
0.91	137744	id_192062	131861	id_184031
1.0	69486	id_97951	30643	id_43669
